Psaume - Numéro	Psaume - Etiquette	Classe
1	Psalm_1	Beatus vir qui non abiit in consilio impiorum, et in via peccatorum non stetit, et in cathedra pesti | HORAE | Psalm 1 | Psalm | h168
2	Psalm_2	Quare fremuerunt gentes, et populi meditati sunt inania ? Astiterunt reges terrae,Quare fremuerunt ge | HORAE | Psalm 2 | Psalm | h993
3	Psalm_3	Domine, quid multiplicati sunt qui tribulant me ?Multi insurgunt adversum me ; multi dicunt animae m | HORAE | Psalm 3 | Psalm | h385
4	Psalm_4	Cum invocarem exaudivit me Deus justitiae meae,in tribulatione dilatasti mihi.Miserere mei, et exaud | HORAE | Psalm 4 | Psalm | h244
5	Psalm_5	Verba mea auribus percipe, Domine ;intellige clamorem meum. Intende voci orationis meae,rex meus et  | HORAE | Psalm 5 | Psalm | h1255
6	Psalm_6	Domine, ne in furore tuo arguas me,neque in ira tua corripias me. Miserere mei, Domine, quoniam infi | HORAE | Psalm 6 | Psalm | h383
7	Psalm_7	Domine Deus meus, in te speravi ;salvum me fac ex omnibus persequentibus me, et libera me : nequando | HORAE | Psalm 7 | Psalm | h365
8	Psalm_8	Domine, Dominus noster,quam admirabile est nomen tuum in universa terra !quoniam elevata est magnifi | HORAE | Psalm 8 | Psalm | h378
9	Psalm_9	Confitebor tibi, Domine, in toto corde meo ; narrabo omnia mirabilia tua. Laetabor et exsultabo in t | HORAE | Psalm 9 | Psalm | h4413
10	Psalm_10	In Domino confido ; quomodo dicitis animae meae :Transmigra in montem sicut passer ? Quoniam ecce pe | HORAE | Psalm 10 | Psalm | h4414
11	Psalm_11	Salvum me fac, Domine, quoniam defecit sanctus, quoniam diminutae sunt veritates a filiis hominum. V | HORAE | Psalm 11 | Psalm | h4415
12	Psalm_12	Usquequo, Domine, oblivisceris me in finem ?usquequo avertis faciem tuam a me ? quamdiu ponam consil | HORAE | Psalm 12 | Psalm | h1229
13	Psalm_13	Dixit insipiens in corde suo : Non est Deus. Corrupti sunt, et abominabiles facti sunt in studiis su | HORAE | Psalm 13 | Psalm | h4416
14	Psalm_14	Domine, quis habitabit in tabernaculo tuo ?aut quis requiescet in monte sancto tuo ? Qui ingreditur  | HORAE | Psalm 14 | Psalm | h386
15	Psalm_15	Conserva me, Domine, quoniam speravi in te. Dixi Domino : Deus meus es tu, quoniam bonorum meorum no | HORAE | Psalm 15 | Psalm | h4417
16	Psalm_16	Exaudi, Domine, justitiam meam ; intende deprecationem meam. Auribus percipe orationem meam, non in  | HORAE | Psalm 16 | Psalm | h4418
17	Psalm_17	Diligam te, Domine, fortitudo mea. Dominus firmamentum meum, et refugium meum, et liberator meus. De | HORAE | Psalm 17 | Psalm | h4419
18	Psalm_18	Caeli enarrant gloriam Dei,et opera manuum ejus annuntiat firmamentum. Dies diei eructat verbum,et n | HORAE | Psalm 18 | Psalm | h190
19	Psalm_19	Exaudiat te Dominus in die tribulationis ; protegat te nomen Dei Jacob. Mittat tibi auxilium de sanc | HORAE | Psalm 19 | Psalm | h4420
20	Psalm_20	Domine, in virtute tua laetabitur rex, et super salutare tuum exsultabit vehementer. Desiderium cord | HORAE | Psalm 20 | Psalm | h4421
21	Psalm_21	Deus, Deus meus, respice in me : quare me dereliquisti ? longe a salute mea verba delictorum meorum. | HORAE | Psalm 21 | Psalm | h4462
22	Psalm_22	Dominus regit me, et nihil mihi deerit : in loco pascuae, ibi me collocavit.Super aquam refectionis  | HORAE | Psalm 22 | Psalm | h392
23	Psalm_23	Domini est terra, et plenitudo ejus ;orbis terrarum, et universi qui habitant in eo. Quia ipse super | HORAE | Psalm 23 | Psalm | h387
24	Psalm_24	Ad te, Domine, levavi animam meam : Deus meus, in te confido ; non erubescam. Neque irrideant me ini | HORAE | Psalm 24 | Psalm | h28
25	Psalm_25	Judica me, Domine, quoniam ego in innocentia mea ingressus sum, et in Domino sperans non infirmabor. | HORAE | Psalm 25 | Psalm | h4422
26	Psalm_26	Dominus illuminatio mea et salus mea : quem timebo ?Dominus protector vitae meae :a quo trepidabo ?  | HORAE | Psalm 26 | Psalm | h390
27	Psalm_27	Ad te, Domine, clamabo ; Deus meus, ne sileas a me :nequando taceas a me, et assimilabor descendenti | HORAE | Psalm 27 | Psalm | h4585
28	Psalm_28	Afferte Domino, filii Dei, afferte Domino filios arietum. Afferte Domino gloriam et honorem ; affert | HORAE | Psalm 28 | Psalm | h4586
29	Psalm_29	Exaltabo te, Domine, quoniam suscepisti me,nec delectasti inimicos meos super me. Domine Deus meus,  | HORAE | Psalm 29 | Psalm | h502
30	Psalm_30	In te, Domine, speravi ;non confundar in aeternum :in justitia tua libera me. Inclina ad me aurem tu | HORAE | Psalm 30 | Psalm | h647
31	Psalm_31	Beati quorum remissae sunt iniquitates,et quorum tecta sunt peccata. Beatus vir cui non imputavit Do | HORAE | Psalm 31 | Psalm | h164
32	Psalm_32	Exsultate, justi, in Domino ; rectos decet collaudatio. Confitemini Domino in cithara ; in psalterio | HORAE | Psalm 32 | Psalm | h4587
33	Psalm_33	Benedicam Dominum in omni tempore ; semper laus ejus in ore meo. In Domino laudabitur anima mea :aud | HORAE | Psalm 33 | Psalm | h4588
34	Psalm_34	Judica, Domine, nocentes me ; expugna impugnantes me. Apprehende arma et scutum, et exsurge in adjut | HORAE | Psalm 34 | Psalm | h4589
35	Psalm_35	Dixit injustus ut delinquat in semetipso :non est timor Dei ante oculos ejus. Quoniam dolose egit in | HORAE | Psalm 35 | Psalm | h4590
36	Psalm_36	Noli aemulari in malignantibus, neque zelaveris facientes iniquitatem : quoniam tamquam fœnum veloci | HORAE | Psalm 36 | Psalm | h4591
37	Psalm_37	Domine, ne in furore tuo arguas me,neque in ira tua corripias me : quoniam sagittae tuae infixae sun | HORAE | Psalm 37 | Psalm | h382
38	Psalm_38	Dixi : Custodiam vias meas :ut non delinquam in lingua mea. Posui ori meo custodiam, cum consisteret | HORAE | Psalm 38 | Psalm | h4592
39	Psalm_39	Exspectans exspectavi Dominum,et intendit mihi. Et exaudivit preces meas,et eduxit me de lacu miseri | HORAE | Psalm 39 | Psalm | h515
40	Psalm_40	Beatus qui intelligit super egenum et pauperem :in die mala liberabit eum Dominus. Dominus conservet | HORAE | Psalm 40 | Psalm | h166
41	Psalm_41	Quemadmodum desiderat cervus ad fontes aquarum,ita desiderat anima mea ad te, Deus. Sitivit anima me | HORAE | Psalm 41 | Psalm | h1005
42	Psalm_42	Judica me, Deus, et discerne causam meam de gente non sancta :ab homine iniquo et doloso erue me. Qu | HORAE | Psalm 42 | Psalm | h690
43	Psalm_43	Deus, auribus nostris audivimus, patres nostri annuntiaverunt nobis, opus quod operatus es in diebus | HORAE | Psalm 43 | Psalm | h4593
44	Psalm_44	Eructavit cor meum verbum bonum :dico ego opera mea regi.Lingua mea calamus scribaevelociter scriben | HORAE | Psalm 44 | Psalm | h452
45	Psalm_45	Deus noster refugium et virtus ;adjutor in tribulationibus quae invenerunt nos nimis. Propterea non  | HORAE | Psalm 45 | Psalm | h290
46	Psalm_46	Omnes gentes, plaudite manibus ; jubilate Deo in voce exsultationis : quoniam Dominus excelsus, terr | HORAE | Psalm 46 | Psalm | h4594
47	Psalm_47	Magnus Dominus et laudabilis nimis,in civitate Dei nostri, in monte sancto ejus. Fundatur exsultatio | HORAE | Psalm 47 | Psalm | h721
48	Psalm_48	Audite haec, omnes gentes ; auribus percipite, omnes qui habitatis orbem : quique terrigenae et fili | HORAE | Psalm 48 | Psalm | h4595
49	Psalm_49	Deus deorum Dominus locutus est, et vocavit terram a solis ortu usque ad occasum. Ex Sion species de | HORAE | Psalm 49 | Psalm | h4596
50	Psalm_50	Miserere mei, Deus, secundum magnam misericordiam tuam ;et secundum multitudinem miserationum tuarum | HORAE | Psalm 50 | Psalm | h763
51	Psalm_51	Quid gloriaris in malitia, qui potens es in iniquitate ? Tota die injustitiam cogitavit lingua tua ; | HORAE | Psalm 51 | Psalm | h4597
52	Psalm_52	Dixit insipiens in corde suo : Non est Deus. Corrupti sunt, et abominabiles facti sunt in iniquitati | HORAE | Psalm 52 | Psalm | h4598
53	Psalm_53	Deus, in nomine tuo salvum me fac,et in virtute tua judica me. Deus, exaudi orationem meam ;auribus  | HORAE | Psalm 53 | Psalm | h309
54	Psalm_54	Exaudi, Deus, orationem meam, et ne despexeris deprecationem meam : intende mihi, et exaudi me. Cont | HORAE | Psalm 54 | Psalm | h4599
55	Psalm_55	Miserere mei, Deus, quoniam conculcavit me homo ; tota die impugnans, tribulavit me. Conculcaverunt  | HORAE | Psalm 55 | Psalm | h4600
56	Psalm_56	Miserere mei, Deus, miserere mei, quoniam in te confidit anima mea. Et in umbra alarum tuarum sperab | HORAE | Psalm 56 | Psalm | h4519
57	Psalm_57	Si vere utique justitiam loquimini, recta judicate, filii hominum. Etenim in corde iniquitates opera | HORAE | Psalm 57 | Psalm | h4601
58	Psalm_58	Eripe me de inimicis meis, Deus meus, et ab insurgentibus in me libera me. Eripe me de operantibus i | HORAE | Psalm 58 | Psalm | h4481
59	Psalm_59	Deus, repulisti nos, et destruxisti nos ; iratus es, et misertus es nobis. Commovisti terram, et con | HORAE | Psalm 59 | Psalm | h4602
60	Psalm_60	Exaudi, Deus, deprecationem meam ; intende orationi meae. A finibus terrae ad te clamavi, dum anxiar | HORAE | Psalm 60 | Psalm | h4603
61	Psalm_61	Nonne Deo subjecta erit anima mea ?ab ipso enim salutare meum. Nam et ipse Deus meus et salutaris me | HORAE | Psalm 61 | Psalm | h4604
62	Psalm_62	Deus, Deus meus, ad te de luce vigilo.Sitivit in te anima mea ; quam multipliciter tibi caro mea ! I | HORAE | Psalm 62 | Psalm | h307
63	Psalm_63	Exaudi, Deus, orationem meam cum deprecor ; a timore inimici eripe animam meam. Protexisti me a conv | HORAE | Psalm 63 | Psalm | h4605
64	Psalm_64	Te decet hymnus, Deus, in Sion,et tibi reddetur votum in Jerusalem. Exaudi orationem meam ;ad te omn | HORAE | Psalm 64 | Psalm | h1206
65	Psalm_65	Jubilate Deo, omnis terra ; psalmum dicite nomini ejus ; date gloriam laudi ejus. Dicite Deo : Quam  | HORAE | Psalm 65 | Psalm | h4606
66	Psalm_66	Deus misereatur nostri, et benedicat nobis ;illuminet vultum suum super nos, et misereatur nostri :  | HORAE | Psalm 66 | Psalm | h289
67	Psalm_67	Exsurgat Deus, et dissipentur inimici ejus ; et fugiant qui oderunt eum a facie ejus. Sicut deficit  | HORAE | Psalm 67 | Psalm | h4607
68	Psalm_68	Salvum me fac, Deus, quoniam intraverunt aquae usque ad animam meam. Infixus sum in limo profundi et | HORAE | Psalm 68 | Psalm | h4556
69	Psalm_69	Deus, in adjutorium meum intende ;Domine, ad adjuvandum me festina. Confundantur, et revereantur, qu | HORAE | Psalm 69 | Psalm | h308
70	Psalm_70	In te, Domine, speravi ; non confundar in aeternum. In justitia tua libera me, et eripe me :inclina  | HORAE | Psalm 70 | Psalm | h4608
71	Psalm_71	Deus, judicium tuum regi da, et justitiam tuam filio regis ; judicare populum tuum in justitia, et p | HORAE | Psalm 71 | Psalm | h4609
72	Psalm_72	Quam bonus Israël Deus,his qui recto sunt corde ! Mei autem pene moti sunt pedes,pene effusi sunt gr | HORAE | Psalm 72 | Psalm | h986
73	Psalm_73	Ut quid, Deus, repulisti in finem, iratus est furor tuus super oves pascuae tuae ? Memor esto congre | HORAE | Psalm 73 | Psalm | h4610
74	Psalm_74	Confitebimur tibi, Deus, confitebimur, et invocabimus nomen tuum ; narrabimus mirabilia tua. Cum acc | HORAE | Psalm 74 | Psalm | h4611
75	Psalm_75	Notus in Judaea Deus ; in Israël magnum nomen ejus. Et factus est in pace locus ejus, et habitatio e | HORAE | Psalm 75 | Psalm | h4612
76	Psalm_76	Voce mea ad Dominum clamavi ; voce mea ad Deum, et intendit mihi. In die tribulationis meae Deum exq | HORAE | Psalm 76 | Psalm | h4613
77	Psalm_77	Attendite, popule meus, legem meam ; inclinate aurem vestram in verba oris mei. Aperiam in parabolis | HORAE | Psalm 77 | Psalm | h4614
78	Psalm_78	Deus, venerunt gentes in haereditatem tuam ; polluerunt templum sanctum tuum ; posuerunt Jerusalem i | HORAE | Psalm 78 | Psalm | h4615
79	Psalm_79	Qui regis Israël, intende ; qui deducis velut ovem Joseph. Qui sedes super cherubim, manifestare cor | HORAE | Psalm 79 | Psalm | h4616
80	Psalm_80	Exsultate Deo adjutori nostro ; jubilate Deo Jacob. Sumite psalmum, et date tympanum ; psalterium ju | HORAE | Psalm 80 | Psalm | h4617
81	Psalm_81	Deus stetit in synagoga deorum ;in medio autem deos dijudicat. Usquequo judicatis iniquitatem, et fa | HORAE | Psalm 81 | Psalm | h4618
82	Psalm_82	Deus, quis similis erit tibi ?ne taceas, neque compescaris, Deus : quoniam ecce inimici tui sonuerun | HORAE | Psalm 82 | Psalm | h4619
83	Psalm_83	Quam dilecta tabernacula tua, Domine virtutum  Concupiscit, et deficit anima mea in atria Domini ; c | HORAE | Psalm 83 | Psalm | h4620
84	Psalm_84	Benedixisti, Domine, terram tuam ;avertisti captivitatem Jacob. Remisisti iniquitatem plebis tuae ;o | HORAE | Psalm 84 | Psalm | h188
85	Psalm_85	Inclina, Domine, aurem tuam et exaudi me, quoniam inops et pauper sum ego. Custodi animam meam, quon | HORAE | Psalm 85 | Psalm | h4621
86	Psalm_86	Fundamenta ejus in montibus sanctis ; diligit Dominus portas Sion super omnia tabernacula Jacob. Glo | HORAE | Psalm 86 | Psalm | h548
87	Psalm_87	Domine, Deus salutis meae, in die clamavi et nocte coram te. Intret in conspectu tuo oratio mea, inc | HORAE | Psalm 87 | Psalm | h4478
88	Psalm_88	Misericordias Domini in aeternum cantabo ; in generationem et generationem annuntiabo veritatem tuam | HORAE | Psalm 88 | Psalm | h4622
89	Psalm_89	Domine, refugium factus es nobisa generatione in generationem. Priusquam montes fierent, aut formare | HORAE | Psalm 89 | Psalm | h4623
90	Psalm_90	Qui habitat in adjutorio Altissimi,in protectione Dei caeli commorabitur. Dicet Domino : Susceptor m | HORAE | Psalm 90 | Psalm | h1011
91	Psalm_91	Bonum est confiteri Domino, et psallere nomini tuo, Altissime : ad annuntiandum mane misericordiam t | HORAE | Psalm 91 | Psalm | h4624
92	Psalm_92	Dominus regnavit, decorem indutus est :indutus est Dominus fortitudinem, et praecinxit se.Etenim fir | HORAE | Psalm 92 | Psalm | h395
93	Psalm_93	Deus ultionum Dominus ; deus ultionum libere egit. Exaltare, qui judicas terram ; redde retributione | HORAE | Psalm 93 | Psalm | h4625
94	Psalm_94	Venite, exsultemus Domino ; jubilemus Deo salutari nostro ; praeoccupemus faciem ejus in confessione | HORAE | Psalm 94 | Psalm | h1253
95	Psalm_95	Cantate Domino canticum novum ;cantate Domino omnis terra. Cantate Domino, et benedicite nomini ejus | HORAE | Psalm 95 | Psalm | h193
96	Psalm_96	Dominus regnavit : exsultet terra ;laetentur insulae multae. Nubes et caligo in circuitu ejus ;justi | HORAE | Psalm 96 | Psalm | h393
97	Psalm_97	Cantate Domino canticum novum,quia mirabilia fecit.Salvavit sibi dextera ejus,et brachium sanctum ej | HORAE | Psalm 97 | Psalm | h195
98	Psalm_98	Dominus regnavit : irascantur populi ;qui sedet super cherubim : moveatur terra. Dominus in Sion mag | HORAE | Psalm 98 | Psalm | h394
99	Psalm_99	Jubilate Deo, omnis terra ;servite Domino in laetitia.Introite in conspectu ejus in exsultatione. Sc | HORAE | Psalm 99 | Psalm | h688
100	Psalm_100	Misericordiam et judicium cantabo tibi, Domine ; psallam,  et intelligam in via immaculata : quando  | HORAE | Psalm 100 | Psalm | h4626
101	Psalm_101	Domine, exaudi orationem meam,et clamor meus ad te veniat. Non avertas faciem tuam a me :in quacumqu | HORAE | Psalm 101 | Psalm | h380
102	Psalm_102	Benedic, anima mea, Domino, et omnia quae intra me sunt nomini sancto ejus. Benedic, anima mea, Domi | HORAE | Psalm 102 | Psalm | h4627
103	Psalm_103	Benedic, anima mea, Domino :Domine Deus meus, magnificatus es vehementer. Confessionem et decorem in | HORAE | Psalm 103 | Psalm | h4628
104	Psalm_104	Confitemini Domino, et invocate nomen ejus ; annuntiate inter gentes opera ejus. Cantate ei, et psal | HORAE | Psalm 104 | Psalm | h4629
105	Psalm_105	Confitemini Domino, quoniam bonus, quoniam in saeculum misericordia ejus. Quis loquetur potentias Do | HORAE | Psalm 105 | Psalm | h4630
106	Psalm_106	Confitemini Domino, quoniam bonus, quoniam in saeculum misericordia ejus. Dicant qui redempti sunt a | HORAE | Psalm 106 | Psalm | h4631
107	Psalm_107	Paratum cor meum, Deus, paratum cor meum ; cantabo, et psallam in gloria mea. Exsurge, gloria mea ;  | HORAE | Psalm 107 | Psalm | h4632
108	Psalm_108	Deus, laudem meam ne tacueris, quia os peccatoris et os dolosi super me apertum est. Locuti sunt adv | HORAE | Psalm 108 | Psalm | h4463
109	Psalm_109	Dixit Dominus Domino meo :Sede a dextris meis,donec ponam inimicos tuos scabellum pedum tuorum. Virg | HORAE | Psalm 109 | Psalm | h360
110	Psalm_110	Confitebor tibi, Domine, in toto corde meo, in consilio justorum, et congregatione. Magna opera Domi | HORAE | Psalm 110 | Psalm | h4633
111	Psalm_111	Beatus vir qui timet Dominum :in mandatis ejus volet nimis. Potens in terra erit semen ejus ; genera | HORAE | Psalm 111 | Psalm | h4634
112	Psalm_112	Laudate, pueri, Dominum ;laudate nomen Domini. Sit nomen Domini benedictumex hoc nunc et usque in sa | HORAE | Psalm 112 | Psalm | h704
113	Psalm_113	In exitu Israël de AEgypto, domus Jacob de populo barbaro, facta est Judaea sanctificatio ejus ; isr | HORAE | Psalm 113 | Psalm | h4635
114	Psalm_114	Dilexi, quoniam exaudiet Dominusvocem orationis meae. Quia inclinavit aurem suam mihi,et in diebus m | HORAE | Psalm 114 | Psalm | h352
115	Psalm_115	Credidi, propter quod locutus sum ; ego autem humiliatus sum nimis. Ego dixi in excessu meo :Omnis h | HORAE | Psalm 115 | Psalm | h4636
116	Psalm_116	Laudate Dominum, omnes gentes ;laudate eum, omnes populi. Quoniam confirmata est super nos misericor | HORAE | Psalm 116 | Psalm | h703
117	Psalm_117	Confitemini Domino, quoniam bonus,quoniam in saeculum misericordia ejus. Dicat nunc Israël : Quoniam | HORAE | Psalm 117 | Psalm | h227
119	Psalm_119	Ad Dominum cum tribularer clamavi, et exaudivit me. Domine, libera animam meam a labiis iniquis et a | HORAE | Psalm 119 | Psalm | h16
120	Psalm_120	Levavi oculos meos in montes,unde veniet auxilium mihi. Auxilium meum a Domino,qui fecit caelum et t | HORAE | Psalm 120 | Psalm | h709
121	Psalm_121	Laetatus sum in his quae dicta sunt mihi :In domum Domini ibimus. Stantes erant pedes nostriin atrii | HORAE | Psalm 121 | Psalm | h696
122	Psalm_122	Ad te levavi oculos meos,qui habitas in caelis. Ecce sicut oculi servorumin manibus dominorum suorum | HORAE | Psalm 122 | Psalm | h27
123	Psalm_123	Nisi quia Dominus erat in nobis,dicat nunc Israël, nisi quia Dominus erat in nobis :cum exsurgerent  | HORAE | Psalm 123 | Psalm | h790
124	Psalm_124	Qui confidunt in Domino, sicut mons Sion :non commovebitur in aeternum,qui habitat  in Jerusalem.Mon | HORAE | Psalm 124 | Psalm | h1006
125	Psalm_125	In convertendo Dominus captivitatem Sion,facti sumus sicut consolati. Tunc repletum est gaudio os no | HORAE | Psalm 125 | Psalm | h614
126	Psalm_126	Nisi Dominus aedificaverit domum,in vanum laboraverunt qui aedificant eam.Nisi Dominus custodierit c | HORAE | Psalm 126 | Psalm | h789
127	Psalm_127	Beati omnes qui timent Dominum,qui ambulant in viis ejus. Labores manuum tuarum quia manducabis :bea | HORAE | Psalm 127 | Psalm | h163
128	Psalm_128	Saepe expugnaverunt me a juventute mea,dicat nunc Israël ; saepe expugnaverunt me a juventute mea :e | HORAE | Psalm 128 | Psalm | h1069
129	Psalm_129	De profundis clamavi ad te, Domine ; Domine, exaudi vocem meam.Fiant aures tuae intendentes in vocem | HORAE | Psalm 129 | Psalm | h264
130	Psalm_130	Domine, non est exaltatum cor meum,neque elati sunt oculi mei,neque ambulavi in magnis,neque in mira | HORAE | Psalm 130 | Psalm | h384
131	Psalm_131	Memento, Domine, David,et omnis mansuetudinis ejus : sicut juravit Domino ;votum vovit Deo Jacob : S | HORAE | Psalm 131 | Psalm | h751
132	Psalm_132	Ecce quam bonum et quam jucundum,habitare fratres in unum ! Sicut unguentum in capite,quod descendit | HORAE | Psalm 132 | Psalm | h416
133	Psalm_133	Ecce nunc benedicite Dominum, omnes servi Domini :qui statis in domo Domini,in atriis domus Dei nost | HORAE | Psalm 133 | Psalm | h415
134	Psalm_134	Laudate nomen Domini ; laudate, servi, Dominum : qui statis in domo Domini, in atriis domus Dei nost | HORAE | Psalm 134 | Psalm | h4637
135	Psalm_135	Confitemini Domino, quoniam bonus, quoniam in aeternum misericordia ejus. Confitemini Deo deorum, qu | HORAE | Psalm 135 | Psalm | h4638
136	Psalm_136	Super flumina Babylonis illic sedimus et flevimus, cum recordaremur Sion. In salicibus in medio ejus | HORAE | Psalm 136 | Psalm | h4639
137	Psalm_137	Confitebor tibi, Domine, in toto corde meo,quoniam audisti verba oris mei.In conspectu angelorum psa | HORAE | Psalm 137 | Psalm | h226
138	Psalm_138	Domine, probasti me, et cognovisti me ; tu cognovisti sessionem meam et resurrectionem meam. Intelle | HORAE | Psalm 138 | Psalm | h4640
139	Psalm_139	Eripe me, Domine, ab homine malo ; a viro iniquo eripe me. Qui cogitaverunt iniquitates in corde, to | HORAE | Psalm 139 | Psalm | h4641
140	Psalm_140	Domine, clamavi ad te : exaudi me ; intende voci meae, cum clamavero ad te. Dirigatur oratio mea sic | HORAE | Psalm 140 | Psalm | h4642
141	Psalm_141	Voce mea ad Dominum clamavi, voce mea ad Dominum deprecatus sum. Effundo in conspectu ejus orationem | HORAE | Psalm 141 | Psalm | h4643
142	Psalm_142	Domine, exaudi orationem meam ;auribus percipe obsecrationem meam in veritate tua ;exaudi me in tua  | HORAE | Psalm 142 | Psalm | h379
143	Psalm_143	Benedictus Dominus Deus meus, qui docet manus meas ad praelium, et digitos meos ad bellum. Misericor | HORAE | Psalm 143 | Psalm | h4644
144	Psalm_144	Exaltabo te, Deus meus rex, et benedicam nomini tuo in saeculum, et in saeculum saeculi. Per singulo | HORAE | Psalm 144 | Psalm | h4645
145	Psalm_145	Lauda, anima mea, Dominum.Laudabo Dominum in vita mea ;psallam Deo meo quamdiu fuero.Nolite confider | HORAE | Psalm 145 | Psalm | h699
146	Psalm_146	Laudate Dominum, quoniam bonus est psalmus ; deo nostro sit jucunda, decoraque laudatio. AEdificans  | HORAE | Psalm 146 | Psalm | h4646
147	Psalm_147	Lauda, Jerusalem, Dominum ;lauda Deum tuum, Sion. Quoniam confortavit seras portarum tuarum ;benedix | HORAE | Psalm 147 | Psalm | h700
148	Psalm_148	Laudate Dominum de caelis ;laudate eum in excelsis. Laudate eum, omnes angeli ejus ;laudate eum, omn | HORAE | Psalm 148 | Psalm | h701
149	Psalm_149	Cantate Domino canticum novum ;laus ejus in ecclesia sanctorum. Laetetur Israël in eo qui fecit eum, | HORAE | Psalm 149 | Psalm | h194
150	Psalm_150	Laudate Dominum in sanctis ejus ;laudate eum in firmamento virtutis ejus. Laudate eum in virtutibus  | HORAE | Psalm 150 | Psalm | h702
118	Psalm_118	Beati immaculati in via, qui ambulant in lege Domini. | HORAE | Psalm 118, 1 | Psalm | h160
118, 1	Psalm_118, 1	Beati immaculati in via, qui ambulant in lege Domini. | HORAE | Psalm 118, 1 | Psalm | h160
118, 105	Psalm_118, 105	Lucerna pedibus meis verbum tuum, et lumen semitis meis | HORAE | Psalm 118, 105 | Psalm | h714
118, 113	Psalm_118, 113	Iniquos odio habui, et legem tuam dilexi | HORAE | Psalm 118, 113 | Psalm | h656
118, 121	Psalm_118, 121	Feci judicium et justitiam : non tradas me calumniantibus me | HORAE | Psalm 118, 121 | Psalm | h526
118, 129	Psalm_118, 129	Mirabilia testimonia tua : ideo scrutata est ea anima mea | HORAE | Psalm 118, 129 | Psalm | h760
118, 137	Psalm_118, 137	Justus es, Domine, et rectum judicium tuum | HORAE | Psalm 118, 137 | Psalm | h691
118, 145	Psalm_118, 145	Clamavi in toto corde meo : exaudi me, Domine ; justificationes tuas requiram | HORAE | Psalm 118, 145 | Psalm | h211
118, 150	Psalm_118, 150	Appropinquaverunt persequentes me iniquitati : a lege autem tua longe facti sunt | HORAE | Psalm 118, 150 | Psalm | h81
118, 153	Psalm_118, 153	Vide humilitatem meam, et eripe me, quia legem tuam non sum oblitus. | HORAE | Psalm 118, 153 | Psalm | h1259
118, 161	Psalm_118, 161	Principes persecuti sunt me gratis, et a verbis tuis formidavit cor meum | HORAE | Psalm 118, 161 | Psalm | h963
118, 169	Psalm_118, 169	Appropinquet deprecatio mea in conspectu tuo, Domine ; juxta eloquium tuum da mihi intellectum | HORAE | Psalm 118, 169 | Psalm | h82
118, 17	Psalm_118, 17	Retribue servo tuo, vivifica me, et custodiam sermones tuos | HORAE | Psalm 118, 17 | Psalm | h1062
118, 25	Psalm_118, 25	Adhaesit pavimento anima mea : vivifica me secundum verbum tuum | HORAE | Psalm 118, 25 | Psalm | h33
118, 33	Psalm_118, 33	Legem pone mihi, Domine, viam justificationum tuarum, et exquiram eam semper | HORAE | Psalm 118, 33 | Psalm | h706
118, 41	Psalm_118, 41	Et veniat super me misericordia tua, Domine ; salutare tuum secundum eloquium tuum | HORAE | Psalm 118, 41 | Psalm | h491
118, 49	Psalm_118, 49	Memor esto verbi tui servo tuo, in quo mihi spem dedisti | HORAE | Psalm 118, 49 | Psalm | h752
118, 57	Psalm_118, 57	Portio mea, Domine, dixi custodire legem tuam | HORAE | Psalm 118, 57 | Psalm | h933
118, 65	Psalm_118, 65	Bonitatem fecisti cum servo tuo, Domine, secundum verbum tuum | HORAE | Psalm 118, 65 | Psalm | h189
118, 73	Psalm_118, 73	Manus tuae fecerunt me, et plasmaverunt me : da mihi intellectum, et discam mandata tua | HORAE | Psalm 118, 73 | Psalm | h725
118, 81	Psalm_118, 81	Defecit in salutare tuum anima mea, et in verbum tuum supersperavi | HORAE | Psalm 118, 81 | Psalm | h268
118, 89	Psalm_118, 89	In aeternum, Domine, verbum tuum permanet in caelo | HORAE | Psalm 118, 89 | Psalm | h611
118, 9	Psalm_118, 9	In quo corrigit adolescentior viam suam ? in custodiendo sermones tuos | HORAE | Psalm 118, 9 | Psalm | h642
118, 97	Psalm_118, 97	Quomodo dilexi legem tuam, Domine ! tota die meditatio mea est | HORAE | Psalm 118, 97 | Psalm | h1034
151	Obsecro_Te	obsecro te domina sancta maria mater dei pietate plenissima summi regis filia mater | HORAE | Obsecro Te | Obsecro Te | hObsecro Te